ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,AdministratorID,ClientSatisfaction,ExpectedReimbursement
7,20-12-2011,13-01-2012,620216,7640,73,1,5,5,18,9,98,SAT,0
8,20-12-2011,23-12-2011,672165,10967,62,1,7,3,18,9,98,SAT,0
16,27-12-2011,26-01-2012,11606,11127,41,1,3,5,13,9,98,NSA,0
17,27-12-2011,27-01-2012,872360,10637,4,1,5,5,11,9,98,N/A,0
18,27-12-2011,18-01-2012,2004046,12116,12,1,3,5,10,9,98,N/A,0
19,27-12-2011,14-02-2012,211339,11104,6,1,3,5,18,9,98,N/A,0
20,27-12-2011,11-01-2012,1799451,11474,8,1,7,3,10,9,98,N/A,0
22,27-12-2011,27-01-2012,812350,8946,22,1,3,5,32,9,98,NSA,0
23,29-12-2011,12-01-2012,146389,10989,65,1,3,5,13,9,98,SAT,0
24,29-12-2011,19-01-2012,2067669,586,11,1,3,5,11,9,98,SAT,0
25,30-12-2011,03-01-2012,2100574,9562,64,1,7,3,11,9,98,SAT,0
26,30-12-2011,13-01-2012,1884347,11768,55,1,7,3,11,9,98,SAT,0
27,30-12-2011,13-01-2012,358206,194,15,1,7,8,4,9,98,SAT,0
28,30-12-2011,05-01-2012,1857235,10127,32,1,7,3,11,9,98,N/A,0
29,02-01-2012,13-01-2012,2504515,7973,14,1,2,1,15,9,98,SAT,0
30,02-01-2012,18-01-2012,521286,879,22,1,3,5,46,9,98,SAT,0
31,03-01-2012,30-01-2012,1870977,1748,50,1,5,5,10,9,98,N/A,0
32,03-01-2012,19-01-2012,2167216,12133,54,1,3,5,10,9,98,SAT,0
33,03-01-2012,05-01-2012,473390,11175,48,1,7,8,13,9,98,SAT,0
34,03-01-2012,13-01-2012,192720,8855,29,1,2,1,11,9,98,SAT,0
35,03-01-2012,24-01-2012,2056385,10989,37,1,3,5,11,9,98,N/A,0
36,04-01-2012,31-01-2012,61273,10426,19,1,3,5,10,9,98,NSA,0
38,04-01-2012,18-01-2012,1868814,11487,13,1,4,5,18,9,98,N/A,0
39,05-01-2012,09-01-2012,707502,11131,31,2,3,5,19,9,98,SAT,0
40,05-01-2012,27-01-2012,705842,2478,52,1,3,5,13,9,98,N/A,0
41,05-01-2012,19-01-2012,1793304,10067,8,2,3,5,10,9,98,SAT,0
42,05-01-2012,30-01-2012,1896503,11747,40,2,3,5,13,9,98,SAT,0
43,05-01-2012,03-02-2012,1708551,10722,66,1,3,5,11,9,98,N/A,0
44,09-01-2012,07-02-2012,592765,11122,10,1,3,5,10,9,98,N/A,0
46,10-01-2012,20-01-2012,1905644,10990,51,2,3,5,11,9,98,NSA,0
47,10-01-2012,23-01-2012,894502,11796,22,1,4,5,13,9,98,SAT,0
48,10-01-2012,18-01-2012,2018516,12475,32,2,3,5,50,9,98,N/A,0
49,10-01-2012,18-01-2012,590346,10160,78,1,3,5,10,9,98,N/A,0
50,10-01-2012,09-02-2012,1815182,1350,40,2,3,5,4,9,98,NSA,0
52,11-01-2012,19-01-2012,1753652,11213,41,1,5,3,15,9,98,N/A,0
53,12-01-2012,24-02-2012,2092556,11194,41,1,4,5,18,9,98,SAT,0
54,12-01-2012,03-02-2012,1832844,1876,28,1,3,1,11,9,98,NSA,0
55,12-01-2012,30-01-2012,768137,10327,40,1,3,5,11,9,98,N/A,0
56,12-01-2012,30-01-2012,194839,1846,38,1,3,5,11,9,98,SAT,0
57,13-01-2012,22-02-2012,1919794,8840,78,1,3,5,13,9,98,SAT,0
58,13-01-2012,30-01-2012,680807,11051,7,1,3,5,10,9,98,SAT,0
61,13-01-2012,25-01-2012,60774,10326,9,2,3,5,15,9,98,SAT,0
62,13-01-2012,18-01-2012,171281,10534,49,2,3,1,32,9,98,SAT,0
64,16-01-2012,30-01-2012,543673,8858,1,1,7,3,11,9,98,SAT,0
65,16-01-2012,16-01-2012,1815782,11715,77,2,7,8,54,9,98,N/A,0
66,16-01-2012,13-02-2012,119887,11676,72,1,5,8,11,9,98,SAT,0
67,16-01-2012,30-01-2012,1985063,10964,72,2,3,5,10,9,98,N/A,0
