id,name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
1,Auburn,Lee County,AL,Alabama,City,32.60986,-85.48078,334,62059,21767,38342,152375113,2646161,America/Chicago
2,Birmingham,Shelby County/Jefferson County,AL,Alabama,City,33.52744,-86.79905,205,212461,89972,31061,378353942,6591013,America/Chicago
3,Decatur,Limestone County/Morgan County,AL,Alabama,City,34.57332,-86.99214,256,55437,22294,41496,141006257,17594716,America/Chicago
4,Dothan,Dale County/Houston County/Henry County,AL,Alabama,City,31.2337,-85.40682,334,68567,25913,42426,232166237,835468,America/Chicago
5,Hoover,Shelby County/Jefferson County,AL,Alabama,City,33.37695,-86.80558,205,84848,32789,77146,122016784,2553332,America/Chicago
6,Huntsville,Limestone County/Madison County,AL,Alabama,City,34.69901,-86.67298,256,190582,78554,48775,552604579,3452021,America/Chicago
7,Mobile,Mobile County,AL,Alabama,City,30.69436,-88.04305,251,194288,76170,38776,361044263,105325210,America/Chicago
8,Montgomery,Montgomery County,AL,Alabama,City,32.36681,-86.29997,334,200602,79866,42927,413985435,4411954,America/Chicago
9,Tuscaloosa,Tuscaloosa County,AL,Alabama,City,33.20984,-87.56917,205,98332,32468,39351,159585773,26058465,America/Chicago
10,Conway,Faulkner County,AR,Arkansas,City,35.0887,-92.4421,501,64980,23439,47504,119284002,648518,America/Chicago
11,Fayetteville,Washington County,AR,Arkansas,City,36.06258,-94.15743,501,82830,33063,39432,139914414,3576029,America/Chicago
12,Fort Smith,Sebastian County,AR,Arkansas,City,35.38592,-94.39855,501,88194,34780,35096,163578424,12876310,America/Chicago
13,Jonesboro,Craighead County,AR,Arkansas,City,35.8423,-90.70428,870,73907,27335,41688,208130553,1488060,America/Chicago
14,Little Rock,Pulaski County,AR,Arkansas,City,34.74648,-92.28959,501,197992,79902,46085,307398785,6758644,America/Chicago
15,North Little Rock,Pulaski County,AR,Arkansas,City,34.76954,-92.26709,501,66504,25538,39591,134251406,7803863,America/Chicago
16,Rogers,Benton County,AR,Arkansas,City,36.33202,-94.11854,501,63159,21295,52943,98229307,452140,America/Chicago
17,Springdale,Washington County/Benton County,AR,Arkansas,City,36.19007,-94.15943,501,77859,24882,42319,120346437,1247769,America/Chicago
18,Avondale,Maricopa County,AZ,Arizona,City,33.4356,-112.3496,623,80684,23516,55100,117194469,186352,America/Phoenix
19,Buckeye,Maricopa County,AZ,Arizona,City,33.37032,-112.58378,623,62138,15718,58939,1015960556,343920,America/Phoenix
20,Casa Grande,Pinal County,AZ,Arizona,City,32.8795,-111.75735,520,51460,17391,44348,285412569,0,America/Phoenix
21,Casas Adobes,Pima County,AZ,Arizona,CDP,32.32341,-110.9951,520,68525,27867,56265,69019793,319226,America/Phoenix
22,Catalina Foothills,Pima County,AZ,Arizona,CDP,32.29785,-110.9187,520,50643,23495,78586,108445140,203235,America/Phoenix
23,Chandler,Maricopa County,AZ,Arizona,City,33.30616,-111.84125,480,260828,88973,72695,168153308,260378,America/Phoenix
24,Flagstaff,Coconino County,AZ,Arizona,City,35.19807,-111.65127,928,70320,23292,48680,167575269,94667,America/Phoenix
25,Gilbert,Maricopa County,AZ,Arizona,Town,33.35283,-111.78903,480,247542,73617,82424,176124143,510475,America/Phoenix
26,Glendale,Maricopa County,AZ,Arizona,City,33.53865,-112.18599,623,240126,79152,46776,153029354,1003996,America/Phoenix
27,Goodyear,Maricopa County,AZ,Arizona,City,33.43532,-112.35821,623,79003,23882,70323,495203854,86125,America/Phoenix
28,Lake Havasu City,Mohave County,AZ,Arizona,City,34.4839,-114.32245,928,53553,22788,42847,119597331,118648,America/Phoenix
29,Mesa,Maricopa County,AZ,Arizona,City,33.42227,-111.82264,480,471825,168914,48809,357097953,1950781,America/Phoenix
30,Peoria,Maricopa County/Yavapai County,AZ,Arizona,City,33.7862,-112.30801,928,171237,58588,65314,455011748,8864869,America/Phoenix
31,Phoenix,Maricopa County,AZ,Arizona,City,33.44838,-112.07404,602,1563025,525610,47326,1340692038,3247104,America/Phoenix
32,San Tan Valley,Pinal County,AZ,Arizona,CDP,33.1911,-111.528,480,86743,25128,59769,94992471,0,America/Phoenix
33,Scottsdale,Maricopa County,AZ,Arizona,City,33.50921,-111.89903,480,236839,102424,73288,476410748,1220280,America/Phoenix
34,Surprise,Maricopa County,AZ,Arizona,City,33.63059,-112.33322,623,128422,45054,59916,279333692,295024,America/Phoenix
35,Tempe,Maricopa County,AZ,Arizona,City,33.41477,-111.90931,480,175826,64810,49012,103510700,674096,America/Phoenix
36,Tucson,Pima County,AZ,Arizona,City,32.22174,-110.92648,520,531641,206342,37149,597790363,819492,America/Phoenix
37,Yuma,Yuma County,AZ,Arizona,City,32.72532,-114.6244,928,94139,33394,43754,313439592,180936,America/Phoenix
38,Alameda,Alameda County,CA,California,City,37.76521,-122.24164,510,78630,30708,79312,27045458,32778370,America/Los Angeles
39,Alhambra,Los Angeles County,CA,California,City,34.09529,-118.12701,626,85551,29174,53582,19764230,1730,America/Los Angeles
40,Aliso Viejo,Orange County,CA,California,City,33.56504,-117.72712,949,50195,18425,102367,17921214,0,America/Los Angeles
41,Anaheim,Orange County,CA,California,City,33.83529,-117.9145,657,350742,99670,60752,129438076,2457142,America/Los Angeles
42,Antioch,Contra Costa County,CA,California,City,38.00492,-121.80579,925,110542,33718,64329,76173197,1842711,America/Los Angeles
43,Apple Valley,San Bernardino County,CA,California,Town,34.50083,-117.18588,760,72174,23727,47938,192802312,855894,America/Los Angeles
44,Arcadia,Los Angeles County,CA,California,City,34.13973,-118.03534,626,58408,19559,79934,28295893,540014,America/Los Angeles
45,Arden-Arcade,Sacramento County,CA,California,CDP,38.60336,-121.38005,916,92844,40602,45489,46185637,232743,America/Los Angeles
46,Bakersfield,Kern County,CA,California,City,35.37329,-119.01871,661,373640,112439,57095,385366784,3809676,America/Los Angeles
47,Baldwin Park,Los Angeles County,CA,California,City,34.08529,-117.9609,626,77071,17674,51742,17174857,399817,America/Los Angeles
48,Bellflower,Los Angeles County,CA,California,City,33.88168,-118.11701,562,78441,23176,48823,15845460,138188,America/Los Angeles
49,Berkeley,Alameda County,CA,California,City,37.87159,-122.27275,510,120972,45917,66237,27106077,18715614,America/Los Angeles
50,Brentwood,Contra Costa County,CA,California,City,37.93187,-121.69579,925,58968,17725,92589,38463708,21105,America/Los Angeles
51,Buena Park,Orange County,CA,California,City,33.86751,-117.99812,657,83270,23130,70588,27246148,65361,America/Los Angeles
52,Burbank,Los Angeles County,CA,California,City,34.18084,-118.30897,818,105319,41361,66076,44947219,94286,America/Los Angeles
53,Camarillo,Ventura County,CA,California,City,34.21639,-119.0376,805,67608,24375,88152,50987676,24048,America/Los Angeles
54,Carlsbad,San Diego County,CA,California,City,33.15809,-117.35059,760,113453,42791,90597,97713477,3595655,America/Los Angeles
55,Carmichael,Sacramento County,CA,California,CDP,38.61713,-121.32828,916,63314,26074,54322,35028560,685947,America/Los Angeles
56,Carson,Los Angeles County,CA,California,City,33.83141,-118.28202,424,93281,25223,72421,48492004,631332,America/Los Angeles
57,Castro Valley,Alameda County,CA,California,CDP,37.6941,-122.08635,510,62363,22164,85596,43349342,822982,America/Los Angeles
58,Cathedral City,Riverside County,CA,California,City,33.77974,-116.46529,760,53826,17369,39872,58414268,665521,America/Los Angeles
59,Chico,Butte County,CA,California,City,39.72849,-121.83748,530,90316,34791,42342,85341862,445536,America/Los Angeles
60,Chino,San Bernardino County,CA,California,City,34.01223,-117.68894,909,85595,20149,72872,76829663,33348,America/Los Angeles
61,Chino Hills,San Bernardino County,CA,California,City,33.9938,-117.75888,909,78309,23696,96914,115720105,123913,America/Los Angeles
62,Chula Vista,San Diego County,CA,California,City,32.64,-117.08417,619,265757,78066,65185,128544440,6380135,America/Los Angeles
63,Citrus Heights,Sacramento County,CA,California,City,38.70712,-121.28106,916,87056,32987,50047,36851825,0,America/Los Angeles
64,Clovis,Fresno County,CA,California,City,36.82523,-119.70292,559,104180,34512,62666,62693928,0,America/Los Angeles
65,Colton,San Bernardino County,CA,California,City,34.0739,-117.31365,909,54621,15432,41565,39689349,1852708,America/Los Angeles
66,Compton,Los Angeles County,CA,California,City,33.89585,-118.22007,424,98462,23551,43507,25973637,227893,America/Los Angeles
67,Concord,Contra Costa County,CA,California,City,37.97798,-122.03107,925,128667,45409,68318,79108534,0,America/Los Angeles
68,Corona,Riverside County,CA,California,City,33.87529,-117.56644,951,164226,48156,74149,102233537,211897,America/Los Angeles
69,Costa Mesa,Orange County,CA,California,City,33.64113,-117.91867,949,113204,40908,66459,40723584,211253,America/Los Angeles
70,Cupertino,Santa Clara County,CA,California,City,37.323,-122.03218,408,60572,20422,141953,29295950,2520,America/Los Angeles
71,Daly City,San Mateo County,CA,California,City,37.70583,-122.46194,650,106562,31137,74449,19788422,0,America/Los Angeles
72,Davis,Yolo County,CA,California,City,38.54491,-121.74052,530,67666,24428,56463,25607394,90331,America/Los Angeles
73,Delano,Kern County,CA,California,City,35.76884,-119.24705,661,52733,11105,35933,37044413,135325,America/Los Angeles
